Siruta,Localitatea,Categoria
6164,Ohaba,Femei_65_
18475,Rociu,Femei_65_
28139,Capalna,Femei_65_
32811,Caianu Mic,Femei_65_
37912,Lunca,Femei_65_
39220,Stiubieni,Femei_65_
45334,Blajani,Femei_65_
45888,Canesti,Femei_65_
46108,Chiliile,Femei_65_
47818,Murgesti,Femei_65_
49019,Robeasca,Femei_65_
50399,Valcelele,Femei_65_
53069,Lapusnicel,Femei_65_
53103,Lapusnicu Mare,Femei_65_
59498,Sanmartin,Femei_65_
59942,Vad,Femei_65_
64461,Lemnia,Femei_65_
70968,Botosesti-Paia,Femei_65_
72604,Gogosu,Femei_65_
72640,Goicea,Femei_65_
73013,Macesu De Sus,Femei_65_
74135,Seaca De Padure,Femei_65_
74842,Catane,Femei_65_
74907,Ghidici,Femei_65_
77082,Rediu,Femei_65_
85056,Meresti,Femei_65_
86438,Madaras,Femei_65_
94606,Ulmu,Femei_65_
103238,Ghimpati,Femei_65_
103354,Gostinu,Femei_65_
104788,Rasuceni,Femei_65_
110571,Bacles,Femei_65_
113206,Pristol,Femei_65_
118094,Magherani,Femei_65_
120174,Vetca,Femei_65_
127714,Nicolae Titulescu,Femei_65_
129282,Stefan Cel Mare,Femei_65_
129503,Topana,Femei_65_
133866,Jugureni,Femei_65_
135146,Salciile,Femei_65_
140477,Carastelec,Femei_65_
141884,Lozna,Femei_65_
151709,Ciuperceni,Femei_65_
151996,Balaci,Femei_65_
152127,Bogdana,Femei_65_
152172,Botoroaga,Femei_65_
152350,Calinesti,Femei_65_
152528,Ciolanesti,Femei_65_
152564,Contesti,Femei_65_
152797,Dracsenei,Femei_65_
153384,Mosteni,Femei_65_
153437,Necsesti,Femei_65_
153623,Plopii-Slavitesti,Femei_65_
153936,Salcia,Femei_65_
153972,Saceni,Femei_65_
154415,Stejaru,Femei_65_
154521,Talpa,Femei_65_
154709,Toporu,Femei_65_
154736,Traian,Femei_65_
155109,Dracea,Femei_65_
155154,Uda-Clocociov,Femei_65_
156035,Bogda,Femei_65_
166672,Vetrisoaia,Femei_65_
171209,Madulari,Femei_65_
174496,Titesti,Femei_65_
175206,Balesti,Femei_65_
175224,Barsesti,Femei_65_
175590,Ciorasti,Femei_65_
176613,Maicanesti,Femei_65_
178545,Vizantea-Livezi,Femei_65_
178885,Negrilesti,Femei_65_
179695,Simisna,Femei_65_
179971,Colelia,Femei_65_
