County,PMP,PSD,PNL,USR_PLUS,PRO_ROMANIA,AUR,UDMR
ab,4576,23058,37975,15468,3355,13357.0,3130
ag,8084,74364,31649,24943,8975,13561.0,339
ar,4818,25064,30429,16204,4326,15315.0,6823
b,36139,150398,118713,176121,19564,27224.0,1195
bc,8212,58319,34638,21177,6363,19992.0,1518
bh,3978,35189,61830,12538,6617,15712.0,39029
bn,7807,24082,26194,6781,2426,7645.0,3052
br,3989,35998,14686,7992,3782,9522.0,294
bt,3448,45576,20764,7995,5872,14931.0,373
bv,5830,33219,42904,43602,5790,12728.0,8048
bz,12020,59434,21031,11216,9350,10325.0,233
cj,8533,28011,66567,48339,6510,12348.0,24521
cl,2331,32893,21330,5002,2070,7026.0,83
cs,4587,25244,25822,5510,3459,5741.0,452
ct,8900,47352,51336,35179,6521,27136.0,556
cv,1020,4457,2850,2645,1528,1666.0,39763
db,5631,62049,32303,12379,7564,10381.0,400
dj,10612,93914,49992,22101,7690,10414.0,576
gj,5366,42816,28373,9221,6901,8506.0,711
gl,7622,56378,34379,21079,7334,15061.0,720
gr,2217,25377,37087,4074,3620,4426.0,202
hd,4070,48790,28413,12771,6139,12965.0,3004
hr,977,4071,3085,1983,674,1320.0,84097
if,5242,30906,39544,27880,6804,10734.0,370
il,1608,22752,11594,4754,6062,7389.0,248
is,10177,53424,50833,42018,7953,26120.0,515
mh,7056,39095,33496,4023,3685,4720.0,296
mm,10752,31123,33339,17300,5037,9672.0,6069
ms,6513,23351,24891,15532,5619,10677.0,57258
nt,5815,43638,30181,17082,5954,18674.0,239
ot,3850,76987,26344,6904,6314,7722.0,273
ph,11701,60787,55592,33397,10417,0.0,770
sb,4711,16305,49491,27787,2826,10540.0,1472
sj,2109,14628,19263,8696,1965,4521.0,17236
sm,2435,13638,18387,8290,4857,5490.0,33787
sv,10568,48521,41889,18050,7297,25023.0,716
tl,1668,16202,14427,5861,3231,7055.0,254
tm,10527,36671,46397,55349,7506,16390.0,4825
tr,2607,47313,43084,5597,3946,4441.0,394
vl,4951,42237,29612,9638,3999,9030.0,470
vn,3779,33174,33978,8156,3074,13247.0,146
vs,3535,36318,20344,10124,6063,11962.0,671
