County,Shannon,Simpsone,Inverse Simpson
ab,0.5590093965567406,0.17362997077602316,1.21011165051457
ag,0.20095938390257082,0.05670815395129658,1.0601172947575428
ar,0.9147477955908879,0.2808068352304879,1.3904470300694267
b,0.24383284341281353,0.05252686593839151,1.0554388974737683
bc,0.26780730162340716,0.07009901218948733,1.0753833075869057
bh,1.2449040519139751,0.4832420932919901,1.9351421371962525
bn,0.5741493226186172,0.1812994637652129,1.2214478380568934
br,0.26925864262869237,0.07133196283473797,1.0768110454759239
bt,0.12141533825886665,0.02717073212230725,1.0279295997966658
bv,0.6838204590809531,0.21890884335873606,1.2802603018834018
bz,0.28342698601704047,0.09133304756629179,1.10051322689977
cj,0.8966256926559596,0.3317041348015227,1.4963432396862277
cl,0.43492834614919756,0.15353037559300675,1.1813773006923487
cs,0.7589215806521782,0.1918285658723733,1.2373612302684776
ct,0.6103690517026139,0.1655972092285205,1.198461955137292
cv,1.006521167500242,0.40557095164431034,1.682286561812888
db,0.3587647788071364,0.11264503190919695,1.1269447244450093
dj,0.2992043922571133,0.09392374164759187,1.103659863926223
gj,0.15415382547701795,0.04133508232765315,1.0431173411748658
gl,0.2455142259168336,0.0702297585998849,1.075534530438539
gr,0.3271815242417032,0.10989512334343432,1.1234631179150767
hd,0.4309059125364837,0.12168813463547523,1.1385477521528997
hr,0.6862889737383153,0.2563256714703971,1.3446746265629548
if,0.35451650592418005,0.09948879410954492,1.1104803510037025
il,0.33521990489793096,0.10898242709481942,1.1223123206644288
is,0.1890171537882735,0.04436932778979363,1.0464293676208354
mh,0.33745163177899834,0.09785278396498542,1.1084665365316468
mm,0.9313546812317021,0.30116578669025174,1.4309545539619486
ms,1.3645951819599929,0.5700167838228111,2.3256721713247446
nt,0.1256030897043577,0.030651590009061813,1.031620818369474
ot,0.16424633976316258,0.04597374102968743,1.0481891778107943
ph,0.18492727613881116,0.05022165457280814,1.0528772368991204
sb,0.5771796488093646,0.16949479304955217,1.20408637011672
sj,1.1752250550604724,0.4634024317951293,1.8635939841199656
sm,1.349758860113221,0.5410291593055845,2.178787651274351
sv,0.3045094261350715,0.073482456597046,1.0793103780066122
tl,0.6206858390366593,0.17143718885619053,1.2069091039936077
tm,0.8906369585306201,0.24048161815006275,1.3166238288589258
tr,0.16110994593145825,0.045500630404901155,1.0476696285553364
vl,0.1521927737860599,0.040202197171238074,1.0418861108587165
vn,0.2391478990990892,0.07309592503501328,1.078860290950576
vs,0.12586137811963308,0.03238735069380738,1.033471400686039
